species_guess,image_url
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/3221859/medium.jpg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3226065/medium.JPG
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/3226069/medium.JPG
Common Goldeneye,https://inaturalist-open-data.s3.amazonaws.com/photos/3226077/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3226090/medium.jpg
Common Merganser,https://inaturalist-open-data.s3.amazonaws.com/photos/3277379/medium.JPG
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/3277439/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3277466/medium.JPG
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3277495/medium.JPG
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3277517/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3277527/medium.jpg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3277536/medium.JPG
Dark-eyed Junco,https://inaturalist-open-data.s3.amazonaws.com/photos/3277556/medium.JPG
American Three-toed Woodpecker,https://inaturalist-open-data.s3.amazonaws.com/photos/3277620/medium.JPG
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/3277706/medium.JPG
Bufflehead,https://inaturalist-open-data.s3.amazonaws.com/photos/3277730/medium.JPG
Pied-billed Grebe,https://inaturalist-open-data.s3.amazonaws.com/photos/3277755/medium.JPG
Mule Deer,https://inaturalist-open-data.s3.amazonaws.com/photos/3277804/medium.JPG
Mountain Bluebird,https://inaturalist-open-data.s3.amazonaws.com/photos/3396941/medium.JPG
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3397022/medium.JPG
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3397205/medium.JPG
Dark-eyed Junco,https://inaturalist-open-data.s3.amazonaws.com/photos/3397411/medium.JPG
Mountain Chickadee,https://inaturalist-open-data.s3.amazonaws.com/photos/3397461/medium.JPG
Dark-eyed Junco,https://inaturalist-open-data.s3.amazonaws.com/photos/3397551/medium.JPG
grand pic,https://static.inaturalist.org/photos/3409955/medium.jpg
Pileated Woodpecker,https://static.inaturalist.org/photos/3410112/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3410759/medium.jpg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/3459698/medium.JPG
Coyote,https://inaturalist-open-data.s3.amazonaws.com/photos/3494422/medium.jpg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3546871/medium.JPG
White-crowned Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/3581918/medium.JPG
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/3581935/medium.JPG
Song Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/3581954/medium.JPG
American Robin,https://inaturalist-open-data.s3.amazonaws.com/photos/3582044/medium.JPG
Common Merganser,https://inaturalist-open-data.s3.amazonaws.com/photos/3582090/medium.JPG
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3582118/medium.JPG
Tree Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/3582231/medium.JPG
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/3602404/medium.JPG
Pine Siskin,https://inaturalist-open-data.s3.amazonaws.com/photos/3602489/medium.JPG
Audubon's Warbler,https://inaturalist-open-data.s3.amazonaws.com/photos/3602541/medium.JPG
American Green-winged Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/3602562/medium.JPG
Common Merganser,https://inaturalist-open-data.s3.amazonaws.com/photos/3602582/medium.JPG
Northern Shoveler,https://inaturalist-open-data.s3.amazonaws.com/photos/3602622/medium.JPG
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3645902/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3645908/medium.JPG
American Robin,https://inaturalist-open-data.s3.amazonaws.com/photos/3645938/medium.JPG
American Robin,https://inaturalist-open-data.s3.amazonaws.com/photos/3645962/medium.JPG
American Crow,https://inaturalist-open-data.s3.amazonaws.com/photos/3646056/medium.JPG
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3646082/medium.JPG
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3646134/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3646233/medium.JPG
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3646308/medium.JPG
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3646364/medium.JPG
Golden Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/3646388/medium.JPG
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3646434/medium.JPG
Common Merganser,https://inaturalist-open-data.s3.amazonaws.com/photos/3646485/medium.JPG
Bufflehead,https://inaturalist-open-data.s3.amazonaws.com/photos/3646504/medium.JPG
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/3646541/medium.JPG
American Crow,https://inaturalist-open-data.s3.amazonaws.com/photos/3646673/medium.JPG
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/3646703/medium.JPG
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/3646732/medium.JPG
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/3710344/medium.JPG
Mountain Chickadee,https://inaturalist-open-data.s3.amazonaws.com/photos/3825864/medium.jpg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/3825985/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/3861070/medium.JPG
Northern Flicker,https://inaturalist-open-data.s3.amazonaws.com/photos/3861149/medium.JPG
Carouge à épaulettes,https://inaturalist-open-data.s3.amazonaws.com/photos/3861184/medium.JPG
Cinnamon Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/3861219/medium.JPG
Red-winged Blackbird,https://inaturalist-open-data.s3.amazonaws.com/photos/3861276/medium.JPG
Red-necked Phalarope,https://inaturalist-open-data.s3.amazonaws.com/photos/3861404/medium.JPG
Common Yellowthroat,https://inaturalist-open-data.s3.amazonaws.com/photos/3861515/medium.JPG
Song Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/3861532/medium.JPG
American Three-toed Woodpecker,https://inaturalist-open-data.s3.amazonaws.com/photos/3861546/medium.JPG
Orange-crowned Warbler,https://inaturalist-open-data.s3.amazonaws.com/photos/3861588/medium.JPG
Bufflehead,https://inaturalist-open-data.s3.amazonaws.com/photos/3861615/medium.JPG
Cinnamon Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/3861712/medium.JPG
American Red Squirrel,https://static.inaturalist.org/photos/4075736/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/4224601/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/4232751/medium.jpg
Clark's Nutcracker,https://static.inaturalist.org/photos/4489560/medium.jpg
Coyote,https://inaturalist-open-data.s3.amazonaws.com/photos/4497837/medium.jpeg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/4532199/medium.jpeg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/4588652/medium.jpg
Tennessee Warbler,https://inaturalist-open-data.s3.amazonaws.com/photos/4634141/medium.jpeg
American Three-toed Woodpecker,https://inaturalist-open-data.s3.amazonaws.com/photos/4634195/medium.jpg
Boreal Chickadee,https://inaturalist-open-data.s3.amazonaws.com/photos/4645097/medium.jpg
Common Yellowthroat,https://inaturalist-open-data.s3.amazonaws.com/photos/4645098/medium.jpg
American Redstart,https://inaturalist-open-data.s3.amazonaws.com/photos/4645105/medium.jpg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/4645189/medium.jpg
Brown Creeper,https://inaturalist-open-data.s3.amazonaws.com/photos/4645192/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/4645194/medium.jpg
American Black Bear,https://static.inaturalist.org/photos/4704346/medium.jpg
American Pika,https://inaturalist-open-data.s3.amazonaws.com/photos/5052579/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/5216436/medium.jpg
American Barn Swallow,https://inaturalist-open-data.s3.amazonaws.com/photos/5304697/medium.jpeg
Killdeer,https://inaturalist-open-data.s3.amazonaws.com/photos/5304829/medium.jpeg
Song Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/5304856/medium.jpeg
Red-winged Blackbird,https://inaturalist-open-data.s3.amazonaws.com/photos/5304872/medium.jpeg
Yellow Warbler,https://inaturalist-open-data.s3.amazonaws.com/photos/5304879/medium.jpeg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/5304908/medium.jpeg
American Dipper,https://inaturalist-open-data.s3.amazonaws.com/photos/5305024/medium.jpeg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/5525562/medium.jpeg
Brown Bear,https://static.inaturalist.org/photos/5544515/medium.jpg
Boreal Chickadee,https://inaturalist-open-data.s3.amazonaws.com/photos/6239764/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/6239772/medium.jpg
Rocky Mountain Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/6602365/medium.jpg
Gray Wolf,https://inaturalist-open-data.s3.amazonaws.com/photos/6641378/medium.jpg
Wapiti,https://static.inaturalist.org/photos/6746556/medium.jpg
Elk,https://static.inaturalist.org/photos/6828161/medium.jpg
Elk,https://static.inaturalist.org/photos/6828250/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/6828327/medium.jpg
Wapiti,https://static.inaturalist.org/photos/6828479/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/6828549/medium.jpg
Clark's Nutcracker,https://static.inaturalist.org/photos/6828639/medium.jpg
Hoary Marmot,https://static.inaturalist.org/photos/6828805/medium.jpg
Least Chipmunk,https://static.inaturalist.org/photos/6828850/medium.jpg
Steller's Jay,https://static.inaturalist.org/photos/6829001/medium.jpg
American Robin,https://inaturalist-open-data.s3.amazonaws.com/photos/6999419/medium.jpg
Bighorn Sheep,https://static.inaturalist.org/photos/7007121/medium.jpg
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/7035228/medium.jpg
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/7096457/medium.jpeg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/7096525/medium.jpeg
Killdeer,https://inaturalist-open-data.s3.amazonaws.com/photos/7096615/medium.jpeg
Song Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/7096680/medium.jpeg
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/7096747/medium.jpeg
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/7096787/medium.jpeg
Brewer's Blackbird,https://inaturalist-open-data.s3.amazonaws.com/photos/7096809/medium.jpeg
Killdeer,https://inaturalist-open-data.s3.amazonaws.com/photos/7096950/medium.jpeg
Northern Pintail,https://inaturalist-open-data.s3.amazonaws.com/photos/7097109/medium.jpg
Green-winged Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/7097295/medium.jpeg
Ring-necked Duck,https://inaturalist-open-data.s3.amazonaws.com/photos/7097374/medium.jpeg
Wood Duck,https://inaturalist-open-data.s3.amazonaws.com/photos/7098089/medium.jpeg
Boreal Toad,https://static.inaturalist.org/photos/7256448/medium.jpg
Wood Frog,https://static.inaturalist.org/photos/7256720/medium.jpg
Columbia Spotted Frog,https://static.inaturalist.org/photos/7256306/medium.jpg
Long-toed Salamander,https://static.inaturalist.org/photos/7256163/medium.jpeg
Rocky Mountain Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/7328568/medium.jpg
Long-toed Salamander,https://static.inaturalist.org/photos/7367918/medium.jpg
Long-toed Salamander,https://inaturalist-open-data.s3.amazonaws.com/photos/7369539/medium.jpeg
Western Terrestrial Garter Snake,https://inaturalist-open-data.s3.amazonaws.com/photos/7369963/medium.jpeg
Wood Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/7371922/medium.jpg
Wood Frog,https://static.inaturalist.org/photos/7372095/medium.jpg
Canada Goose,https://static.inaturalist.org/photos/7372153/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/7372407/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/7372438/medium.jpg
Western Toad,https://static.inaturalist.org/photos/7372458/medium.jpg
Cervus,https://static.inaturalist.org/photos/7372485/medium.jpeg
beaver,https://static.inaturalist.org/photos/7372480/medium.jpeg
wolf scat,https://static.inaturalist.org/photos/7372488/medium.jpeg
Birds,https://static.inaturalist.org/photos/7375354/medium.jpeg
Wood Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/7372553/medium.jpg
Wood Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/7372551/medium.jpeg
Long-toed Salamander,https://static.inaturalist.org/photos/7372652/medium.jpg
Long-toed Salamander,https://static.inaturalist.org/photos/7372661/medium.jpg
Western Toad,https://static.inaturalist.org/photos/7372997/medium.jpg
Long-toed Salamander,https://static.inaturalist.org/photos/7372856/medium.jpg
Mallard,https://static.inaturalist.org/photos/7372986/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/7374371/medium.jpg
Long-toed Salamander,https://inaturalist-open-data.s3.amazonaws.com/photos/7374032/medium.jpeg
Wood Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/7374390/medium.jpg
Wood Frog,https://static.inaturalist.org/photos/7387572/medium.jpg
Long-toed Salamander,https://inaturalist-open-data.s3.amazonaws.com/photos/7375629/medium.jpeg
Long-toed Salamander,https://inaturalist-open-data.s3.amazonaws.com/photos/7375632/medium.jpeg
Long-toed Salamander,https://inaturalist-open-data.s3.amazonaws.com/photos/7375636/medium.jpeg
Great Blue Heron,https://inaturalist-open-data.s3.amazonaws.com/photos/7375644/medium.jpeg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/7375697/medium.jpeg
Canada Goose,https://inaturalist-open-data.s3.amazonaws.com/photos/7375841/medium.jpeg
Savannah Sparrow,https://inaturalist-open-data.s3.amazonaws.com/photos/7379413/medium.jpg
Muskrat,https://inaturalist-open-data.s3.amazonaws.com/photos/7380145/medium.jpg
American Green-winged Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/7380273/medium.jpg
Northern Shoveler,https://inaturalist-open-data.s3.amazonaws.com/photos/7380324/medium.jpg
Canada Goose,https://static.inaturalist.org/photos/7412737/medium.jpeg
Columbia Spotted Frog,https://inaturalist-open-data.s3.amazonaws.com/photos/7421002/medium.jpeg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/7429956/medium.jpeg
American Pika,https://inaturalist-open-data.s3.amazonaws.com/photos/7447220/medium.jpeg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/7447252/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/7447260/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/7447262/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/7447264/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/7448037/medium.jpeg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/7481320/medium.jpeg
Grizzly Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/7481455/medium.jpeg
Grizzly Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/7481612/medium.jpeg
Clark's Nutcracker,https://static.inaturalist.org/photos/7536229/medium.jpg
Least Chipmunk,https://static.inaturalist.org/photos/7572305/medium.jpg
Columbian Ground Squirrel,https://static.inaturalist.org/photos/7706112/medium.jpg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/7706140/medium.jpg
Mule Deer,https://static.inaturalist.org/photos/7706170/medium.jpg
Columbian Ground Squirrel,https://static.inaturalist.org/photos/7712554/medium.jpg
Cinnamon Teal,https://inaturalist-open-data.s3.amazonaws.com/photos/7775868/medium.jpg
Red-naped Sapsucker,https://inaturalist-open-data.s3.amazonaws.com/photos/8016769/medium.jpeg
Barrow's Goldeneye,https://static.inaturalist.org/photos/8211297/medium.jpg
Brown Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/8236056/medium.jpg
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/8241063/medium.jpg
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/8241089/medium.jpg
Rocky Mountain Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/8241111/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/8333175/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/8333266/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/8333315/medium.jpg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/8366725/medium.jpg
Bighorn Sheep,https://static.inaturalist.org/photos/8387717/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/8462304/medium.jpeg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/8462307/medium.jpeg
Jaseur d'Amérique,https://inaturalist-open-data.s3.amazonaws.com/photos/8577259/medium.jpg
Carouge à épaulettes,https://inaturalist-open-data.s3.amazonaws.com/photos/8577261/medium.jpg
cerf de Virginie,https://inaturalist-open-data.s3.amazonaws.com/photos/8462310/medium.jpeg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/8550909/medium.jpg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/8574673/medium.jpeg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/8577201/medium.jpeg
Hoary Marmot,https://inaturalist-open-data.s3.amazonaws.com/photos/8577202/medium.jpeg
Clark's Nutcracker,https://inaturalist-open-data.s3.amazonaws.com/photos/8577286/medium.jpg
American Black Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/8668849/medium.jpg
Clark's Nutcracker,https://inaturalist-open-data.s3.amazonaws.com/photos/9116194/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/9262947/medium.jpg
Brown Bear,https://static.inaturalist.org/photos/9364857/medium.jpg
Wapiti,https://static.inaturalist.org/photos/9365033/medium.jpg
Varied Thrush,https://inaturalist-open-data.s3.amazonaws.com/photos/9450063/medium.jpg
Clark's Nutcracker,https://inaturalist-open-data.s3.amazonaws.com/photos/9450079/medium.jpg
Steller's Jay,https://inaturalist-open-data.s3.amazonaws.com/photos/9450108/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/9450156/medium.jpg
Common Goldeneye,https://inaturalist-open-data.s3.amazonaws.com/photos/9451209/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/9451256/medium.jpg
mésangeai du Canada,https://inaturalist-open-data.s3.amazonaws.com/photos/9451315/medium.jpg
Hermit Thrush,https://inaturalist-open-data.s3.amazonaws.com/photos/9451369/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/9451555/medium.jpg
Cape May Warbler,https://inaturalist-open-data.s3.amazonaws.com/photos/9451832/medium.jpg
Hoary Marmot,https://inaturalist-open-data.s3.amazonaws.com/photos/9456033/medium.jpg
Hoary Marmot,https://inaturalist-open-data.s3.amazonaws.com/photos/9456418/medium.jpeg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/9467032/medium.jpg
American Red Squirrel,https://static.inaturalist.org/photos/9732998/medium.jpg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/9738016/medium.jpeg
American Pika,https://static.inaturalist.org/photos/9738058/medium.jpeg
Columbian Ground Squirrel,https://static.inaturalist.org/photos/9738073/medium.jpeg
Black-billed Magpie,https://static.inaturalist.org/photos/10032670/medium.jpg
Common Raven,https://static.inaturalist.org/photos/10046776/medium.jpg
Mountain Goat,https://static.inaturalist.org/photos/10055305/medium.jpg
Bighorn Sheep,https://static.inaturalist.org/photos/10062809/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/10081315/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/10122530/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/10122541/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/10122544/medium.jpg
Western Toad,https://inaturalist-open-data.s3.amazonaws.com/photos/10223745/medium.jpg
Wapiti,https://static.inaturalist.org/photos/10234039/medium.jpg
Common Raven,https://inaturalist-open-data.s3.amazonaws.com/photos/10234847/medium.jpeg
Golden-mantled Ground Squirrel,https://static.inaturalist.org/photos/10357552/medium.jpg
Spruce Grouse,https://static.inaturalist.org/photos/10451778/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/10509495/medium.jpg
mésangeai du Canada,https://inaturalist-open-data.s3.amazonaws.com/photos/10509496/medium.jpg
Common Raven,https://inaturalist-open-data.s3.amazonaws.com/photos/10509497/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/10509498/medium.jpg
American Beaver,https://inaturalist-open-data.s3.amazonaws.com/photos/10509500/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/10558846/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/10558855/medium.jpg
Black-billed Magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/10771474/medium.jpg
Mule Deer,https://inaturalist-open-data.s3.amazonaws.com/photos/10771500/medium.jpg
Franklin's Spruce Grouse,https://static.inaturalist.org/photos/10924413/medium.jpg
Elk,https://inaturalist-open-data.s3.amazonaws.com/photos/10938986/medium.jpeg
Clark's Nutcracker,https://inaturalist-open-data.s3.amazonaws.com/photos/11062014/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11062104/medium.jpg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/11062426/medium.jpg
Bighorn Sheep,https://inaturalist-open-data.s3.amazonaws.com/photos/11098266/medium.png
Wapiti,https://static.inaturalist.org/photos/11129079/medium.jpeg
mésangeai du Canada,https://static.inaturalist.org/photos/11142147/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11142168/medium.jpeg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11142176/medium.jpeg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11142178/medium.jpeg
Wapiti,https://inaturalist-open-data.s3.amazonaws.com/photos/11198838/medium.jpg
Grizzly Bear,https://inaturalist-open-data.s3.amazonaws.com/photos/11253205/medium.jpeg
Mallard,https://inaturalist-open-data.s3.amazonaws.com/photos/11253384/medium.jpg
American Red Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11274052/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277170/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277223/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277319/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277378/medium.jpg
Columbian Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277518/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11277820/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11278203/medium.jpg
Golden-mantled Ground Squirrel,https://inaturalist-open-data.s3.amazonaws.com/photos/11278309/medium.jpg
